Date,Open,High,Low,Close*,Adj Close**,Volume
2017-08-31,23.9,25.64,22.75,25.34,21.94,1481992500
2017-09-30,25.46,27.98,25.12,27.39,23.71,1380163100
2017-10-31,27.64,28.72,25.81,28.17,24.39,1350989400
2017-12-01,28.25,30.03,27.5,29.52,25.67,1494582400
2018-01-01,29.75,32.45,29.61,32.0,27.82,1413714500
2018-02-01,32.0,32.85,29.13,32.1,27.91,1705884000
2018-03-01,32.07,33.05,29.01,29.99,26.07,1488464200
2018-03-31,29.8,31.17,28.75,29.92,26.11,1471183500
2018-04-30,29.92,31.36,28.43,29.04,25.34,1414580700
2018-05-31,29.49,30.41,28.01,28.19,24.7,1377574500
2018-06-30,28.08,31.45,27.63,30.88,27.06,1313220000
2018-07-31,31.22,31.91,30.16,30.93,27.1,1076260100
2018-08-31,30.91,31.37,29.42,29.46,25.81,1036676400
2018-09-30,29.68,30.79,25.88,27.5,24.21,1818210500
2018-10-31,27.77,29.12,26.78,28.4,25.01,1119395300
2018-12-01,28.99,29.04,22.66,24.64,21.7,1812967100
2019-01-01,24.08,29.72,24.01,28.47,25.21,1644923700
2019-02-01,28.6,29.67,27.86,29.08,25.75,972624100
2019-03-01,29.33,30.14,26.61,27.59,24.55,1240842800
2019-03-31,27.9,31.17,27.85,30.58,27.21,1226771800
2019-04-30,30.56,30.89,26.48,26.6,23.67,1063985700
2019-05-31,26.59,29.27,26.4,29.0,25.81,987172300
2019-06-30,29.48,31.06,28.86,30.68,27.45,963999300
2019-07-31,30.55,31.07,26.21,27.51,24.61,1359301200
2019-08-31,27.21,30.32,26.61,29.17,26.1,1202361900
2019-09-30,29.44,32.23,27.16,31.27,28.16,1206828400
2019-10-31,31.7,33.6,31.37,33.32,30.01,847433200
2019-12-01,33.45,35.72,32.55,35.22,31.72,941699200
2020-01-01,35.35,35.67,32.47,32.83,29.73,995093800
2020-02-01,33.0,35.45,27.7,28.5,25.81,1072992000
2020-03-01,28.35,29.75,17.95,21.23,19.22,2826499000
2020-03-31,19.93,25.32,19.51,24.05,21.92,1636723300
2020-04-30,23.38,26.17,20.1,24.12,21.98,1447488500
2020-05-31,24.28,29.01,23.02,23.75,21.64,1801797500
2020-06-30,24.03,25.29,22.39,24.88,22.83,1388503300
2020-07-31,25.03,27.75,24.69,25.74,23.62,1145115700
2020-08-31,25.58,26.76,22.95,24.09,22.11,1290916600
2020-09-30,24.27,25.83,23.12,23.7,21.9,1296966100
2020-10-31,23.89,29.1,23.27,28.16,26.02,1286428200
2020-12-01,28.74,30.55,28.14,30.31,28.01,1027329000
2021-01-01,30.46,34.37,29.59,29.65,27.57,1085862900
2021-02-01,29.87,37.03,29.57,34.71,32.27,949913300
2021-03-01,35.52,39.97,35.24,38.69,35.98,1378848200
2021-03-31,38.83,41.13,37.41,40.53,37.87,1029977500
2021-04-30,40.87,43.26,39.78,42.39,39.61,823509600
2021-05-31,42.95,43.49,38.49,41.23,38.53,984580900
2021-06-30,41.56,41.7,36.51,38.36,36.0,1060522600
2021-07-31,38.4,42.84,37.55,41.75,39.18,997266200
2021-08-31,41.75,44.04,38.36,42.45,39.83,1022318600
2021-09-30,42.48,48.43,42.33,47.78,45.07,917220900
2021-10-31,48.1,48.69,44.36,44.47,41.94,895399100
2021-12-01,45.22,45.7,42.7,44.49,41.96,1060922000
2022-01-01,45.09,50.08,42.59,46.14,43.73,1225178700
2022-02-01,46.21,50.11,42.05,44.2,41.89,941748700
2022-03-01,43.71,44.63,38.17,41.22,39.07,1312818500
2022-03-31,41.69,41.74,35.54,35.68,33.98,1032209900
2022-04-30,36.03,38.75,32.96,37.2,35.43,1107801400
2022-05-31,37.46,37.47,30.64,31.13,29.65,996294300
2022-06-30,30.98,33.98,29.67,33.81,32.39,814208000
2022-07-31,33.62,36.94,33.0,33.61,32.19,819363100
2022-08-31,33.34,35.63,30.17,30.2,28.93,860183900
2022-09-30,30.59,36.37,29.31,36.04,34.75,980931500
2022-10-31,36.44,38.6,35.41,37.85,36.49,700345500
2022-12-01,37.5,37.69,31.35,33.12,31.93,893060200
2023-01-01,33.23,35.78,32.89,35.48,34.41,809281100
2023-02-01,35.2,37.0,33.84,34.3,33.26,616776700
2023-03-01,34.15,34.56,26.32,28.6,27.74,2061004500
2023-03-31,28.64,30.93,27.46,29.28,28.58,1028196100
2023-04-30,29.5,29.54,26.83,27.79,27.13,1047670900
2023-05-31,27.76,29.8,27.34,28.69,28.0,968264000
2023-06-30,28.7,32.85,28.1,32.0,31.48,968771600
2023-07-31,31.84,31.94,28.18,28.67,28.21,809800400
2023-08-31,28.76,29.44,27.01,27.38,27.16,776822300
2023-09-30,27.27,28.04,24.96,26.34,26.13,1225313600
2023-10-31,26.44,30.61,26.15,30.49,30.25,891066700
