Date,Open,High,Low,Close*,Adj Close**,Volume
2017-08-31,68.11,72.97,65.69,72.74,59.05,299867700
2017-09-30,73.07,76.14,70.91,73.5,59.67,360485700
2017-10-31,73.99,76.89,70.02,75.5,61.29,289638400
2017-12-01,75.71,77.92,73.78,74.41,60.67,335091300
2018-01-01,75.09,80.7,73.97,78.48,63.99,333288100
2018-02-01,78.27,79.23,71.0,75.49,61.55,345124100
2018-03-01,75.5,76.53,67.5,67.5,55.26,397762100
2018-03-31,68.33,73.38,66.55,68.27,55.89,372694400
2018-04-30,68.24,73.3,65.2,66.69,54.6,347514600
2018-05-31,67.49,69.17,64.38,66.92,55.04,369881700
2018-06-30,66.21,72.79,65.9,71.89,59.13,334733500
2018-07-31,72.5,73.21,68.08,71.24,58.6,280770900
2018-08-31,70.99,75.24,68.91,71.74,59.38,283436400
2018-09-30,72.24,73.98,63.18,65.46,54.18,438549700
2018-10-31,66.09,69.0,61.72,64.79,53.63,347615300
2018-12-01,66.04,66.46,48.42,52.06,43.39,535469400
2019-01-01,50.68,64.74,50.67,64.46,53.72,447393500
2019-02-01,64.25,65.43,61.01,63.98,53.32,259451400
2019-03-01,64.78,66.83,60.05,62.22,52.22,353947500
2019-03-31,62.85,71.94,62.82,70.7,59.34,281241700
2019-04-30,70.68,71.17,61.97,62.15,52.16,302717600
2019-05-31,62.1,70.21,61.94,70.03,59.15,260679300
2019-06-30,70.86,73.08,70.08,71.16,60.11,265218900
2019-07-31,70.67,71.09,60.72,64.35,54.35,339809700
2019-08-31,64.0,70.74,62.32,69.08,58.79,264574600
2019-09-30,69.57,74.28,64.79,71.86,61.15,282143700
2019-10-31,72.25,76.28,72.1,75.12,63.93,209248400
2019-12-01,75.42,80.42,72.5,79.89,68.47,254822200
2020-01-01,80.13,83.11,73.91,74.41,63.78,271506100
2020-02-01,74.7,80.77,61.34,63.46,54.75,302892000
2020-03-01,63.85,68.43,32.0,42.12,36.34,763972700
2020-03-31,39.14,50.65,36.67,48.56,41.9,668094100
2020-04-30,46.31,53.01,38.76,47.91,41.34,619221900
2020-05-31,48.14,62.47,47.82,51.1,44.56,714515500
2020-06-30,51.76,53.6,49.03,50.01,43.61,473101600
2020-07-31,50.56,55.03,49.16,51.12,45.02,365404400
2020-08-31,50.88,53.64,41.29,43.11,37.97,634633000
2020-09-30,43.33,46.12,40.49,41.42,36.48,563146200
2020-10-31,41.86,57.24,41.2,55.07,49.1,524801100
2020-12-01,56.55,61.93,55.25,61.66,54.98,423975400
2021-01-01,61.59,69.43,57.69,57.99,51.71,455920600
2021-02-01,58.66,69.38,57.4,65.88,59.24,342568000
2021-03-01,68.49,76.13,67.89,72.75,65.42,467057800
2021-03-31,72.22,74.73,68.41,71.24,64.06,372474300
2021-04-30,72.02,79.28,70.63,78.71,71.27,358130700
2021-05-31,79.49,80.29,67.13,70.75,64.07,518881000
2021-06-30,71.08,71.21,64.36,67.62,61.23,427931000
2021-07-31,67.95,74.64,66.89,71.91,65.6,350607900
2021-08-31,72.36,73.28,65.97,70.18,64.03,409797300
2021-09-30,70.44,73.72,68.74,69.16,63.09,379869400
2021-10-31,69.93,69.93,63.36,63.7,58.53,441374200
2021-12-01,64.66,65.09,57.59,60.39,55.49,516996800
2022-01-01,61.18,68.65,60.03,65.12,59.84,565256700
2022-02-01,65.44,69.11,58.37,59.23,54.43,456643500
2022-03-01,58.39,59.86,53.36,53.4,49.46,743040700
2022-03-31,53.47,53.98,48.05,48.21,44.65,483095400
2022-04-30,48.46,54.25,45.4,53.41,49.98,577277900
2022-05-31,53.5,53.74,45.26,45.99,43.03,470241800
2022-06-30,45.74,53.15,43.44,51.9,48.56,437703700
2022-07-31,51.49,54.56,48.67,48.81,46.12,335836200
2022-08-31,48.77,51.64,41.61,41.67,39.37,403082700
2022-09-30,41.55,46.28,40.01,45.86,43.33,392842200
2022-10-31,46.3,50.57,44.27,48.41,45.74,353073000
2022-12-01,48.28,48.67,42.91,45.23,43.23,381563700
2023-01-01,45.75,52.29,45.54,52.22,49.91,381928500
2023-02-01,51.54,53.23,49.15,50.69,48.45,291938100
2023-03-01,50.46,52.45,42.01,46.89,45.26,590189300
2023-03-31,47.14,50.45,45.31,47.07,45.44,305974700
2023-04-30,47.88,48.38,43.71,44.32,43.25,324269700
2023-05-31,44.68,49.42,44.31,46.04,44.93,303703100
2023-06-30,46.08,49.12,45.11,47.66,46.51,365120800
2023-07-31,47.33,47.47,40.72,41.29,40.29,355060500
2023-08-31,41.59,43.44,39.94,41.13,40.6,318487700
2023-09-30,40.99,43.32,38.17,39.49,38.98,436737300
2023-10-31,39.54,46.17,39.28,46.1,45.51,337989900
