Date,Open,High,Low,Close*,Adj Close**,Volume
2017-08-31,224.55,237.6,214.64,237.19,207.1,55573100
2017-09-30,237.2,247.08,235.19,242.48,211.72,59100600
2017-10-31,243.89,250.79,233.55,247.64,216.22,54376000
2017-12-01,249.78,262.14,244.01,254.76,223.14,53592500
2018-01-01,257.77,273.79,248.84,267.89,234.64,80616900
2018-02-01,266.15,273.12,239.29,262.93,230.29,72971300
2018-03-01,262.61,275.31,244.37,251.86,221.22,62342400
2018-03-31,251.26,262.5,237.51,238.33,209.33,76273900
2018-04-30,237.51,245.88,224.09,225.88,198.4,63073600
2018-05-31,228.4,238.23,219.12,220.57,194.42,60707000
2018-06-30,219.75,239.73,218.89,237.43,209.28,62274700
2018-07-31,238.5,245.08,226.57,237.81,209.62,58750500
2018-08-31,237.76,239.45,223.8,224.24,198.31,48635800
2018-09-30,226.22,231.4,208.4,225.37,199.31,79100600
2018-10-31,225.76,234.06,188.12,190.69,168.64,84619000
2018-12-01,194.0,195.66,151.7,167.05,148.33,99800200
2019-01-01,164.33,203.29,163.35,198.01,175.82,89708600
2019-02-01,198.0,201.5,188.22,196.7,174.66,49619100
2019-03-01,198.75,206.45,186.5,191.99,171.16,62988100
2019-03-31,194.0,209.97,193.61,205.92,183.58,63471300
2019-04-30,206.4,208.75,182.31,182.49,162.69,51152900
2019-05-31,181.7,205.84,180.73,204.6,183.23,44089700
2019-06-30,208.0,222.24,203.54,220.13,197.14,51995900
2019-07-31,219.35,219.95,193.71,203.91,182.61,43352400
2019-08-31,201.1,221.5,196.58,207.23,186.75,45995700
2019-09-30,207.01,219.28,193.99,213.38,192.29,61684500
2019-10-31,215.26,224.77,214.75,221.35,199.47,39274300
2019-12-01,220.97,232.21,210.0,229.93,208.37,46468200
2020-01-01,231.0,250.46,229.49,237.75,215.46,70831600
2020-02-01,238.36,245.77,194.85,200.77,181.95,61711300
2020-03-01,201.41,211.79,130.85,154.59,140.95,133808200
2020-03-31,146.1,193.72,141.67,183.42,167.24,84992100
2020-04-30,179.0,211.31,165.36,196.49,179.16,68838500
2020-05-31,197.31,222.98,188.51,197.62,181.31,77455700
2020-06-30,198.88,225.24,195.0,197.96,181.63,84411600
2020-07-31,198.49,216.95,196.53,204.87,187.97,56569800
2020-08-31,203.6,215.23,185.87,200.97,185.5,79074100
2020-09-30,201.53,214.89,185.52,189.04,174.49,71860700
2020-10-31,192.0,238.12,188.23,230.58,212.83,61139000
2020-12-01,231.96,263.93,231.35,263.71,243.42,57496000
2021-01-01,267.0,309.41,260.16,271.17,251.67,73466400
2021-02-01,272.66,335.81,272.0,319.48,296.5,56397500
2021-03-01,325.0,356.85,316.46,327.0,303.48,69663600
2021-03-31,324.3,353.83,322.97,348.45,324.66,64000400
2021-04-30,350.34,376.98,342.57,372.02,346.62,54534300
2021-05-31,377.7,393.26,348.13,379.53,354.81,61458900
2021-06-30,380.7,385.33,349.0,374.88,350.46,53710100
2021-07-31,376.17,420.76,371.77,413.51,386.58,48011900
2021-08-31,413.16,417.58,372.5,378.03,355.12,50989600
2021-09-30,379.44,419.81,372.82,413.35,388.3,52460700
2021-10-31,417.07,426.16,377.26,380.99,357.9,51024900
2021-12-01,383.82,401.75,366.65,382.55,359.37,54077900
2022-01-01,389.0,412.66,326.23,354.68,334.95,86070200
2022-02-01,356.13,377.4,326.95,341.29,322.3,55246800
2022-03-01,337.4,346.77,318.55,330.1,311.73,68146100
2022-03-31,333.93,347.35,304.71,305.49,290.19,60544400
2022-04-30,305.81,329.72,293.9,326.85,310.49,50846700
2022-05-31,327.0,329.27,278.15,297.02,283.88,55802300
2022-06-30,295.27,335.18,277.84,333.39,318.64,53637700
2022-07-31,331.73,358.62,327.22,332.67,317.95,41448800
2022-08-31,329.87,344.37,288.62,293.05,282.2,40946400
2022-09-30,297.17,346.18,287.75,344.51,331.75,50063200
2022-10-31,345.13,389.58,342.59,386.15,371.85,54123100
2022-12-01,386.5,386.5,339.3,343.38,332.83,42481000
2023-01-01,345.5,374.35,336.16,365.81,354.57,72602300
2023-02-01,359.1,379.68,351.33,351.65,340.85,43626100
2023-03-01,349.39,358.86,301.87,327.11,317.06,71663200
2023-03-31,326.14,345.06,319.37,343.44,335.27,41874400
2023-04-30,344.05,347.46,317.32,323.9,316.2,40051700
2023-05-31,324.51,347.73,310.56,322.54,317.27,54489500
2023-06-30,322.41,361.62,312.7,355.87,350.05,53389200
2023-07-31,354.0,358.73,318.0,327.71,322.35,39255100
2023-08-31,329.67,346.19,318.98,323.57,320.93,34247000
2023-09-30,322.03,323.58,289.36,303.61,301.14,49100700
2023-10-31,303.33,344.76,302.84,341.54,338.76,41299000
