Date,Open,High,Low,Close*,Adj Close**,Volume
2017-08-31,91.25,95.88,88.08,95.51,79.77,250922800
2017-09-30,95.77,102.42,94.96,100.61,84.02,259433200
2017-10-31,101.1,106.66,95.95,104.52,87.8,256086400
2017-12-01,104.9,108.46,102.2,106.94,89.83,284432100
2018-01-01,107.63,117.35,106.81,115.67,97.17,304940100
2018-02-01,115.77,119.33,103.98,115.5,97.53,354632300
2018-03-01,115.48,118.75,106.65,109.97,92.86,321513800
2018-03-31,109.96,115.15,106.08,108.78,91.85,340100300
2018-04-30,108.45,114.73,104.96,107.01,90.82,273649200
2018-05-31,108.34,111.91,103.11,104.2,88.43,307772000
2018-06-30,103.72,117.61,102.2,114.95,97.56,298256100
2018-07-31,115.75,118.29,112.97,114.58,97.77,234427900
2018-08-31,114.34,119.24,112.52,112.84,96.29,232549000
2018-09-30,113.37,116.81,102.73,109.02,93.03,433042000
2018-10-31,109.62,112.93,105.98,111.19,95.54,283227700
2018-12-01,112.38,112.89,91.11,97.62,83.88,425217000
2019-01-01,95.95,105.24,95.94,103.5,88.94,325890900
2019-02-01,104.0,107.27,100.06,104.36,90.4,224935100
2019-03-01,105.1,108.4,98.09,101.23,87.69,306599600
2019-03-31,102.15,117.16,102.12,116.05,100.53,252516300
2019-04-30,115.72,117.0,104.84,105.96,92.49,230711900
2019-05-31,105.8,112.43,105.3,111.8,97.59,248214000
2019-06-30,113.23,117.24,112.15,116.0,101.25,232008700
2019-07-31,115.33,116.8,104.34,109.86,96.57,259393900
2019-08-31,108.98,120.4,107.32,117.69,103.46,229360700
2019-09-30,118.4,127.42,110.52,124.92,109.81,251981600
2019-10-31,126.2,132.43,126.02,131.76,116.75,191200900
2019-12-01,132.31,140.08,128.59,139.4,123.52,212915300
2020-01-01,139.79,141.1,129.71,132.36,117.28,247990900
2020-02-01,132.66,139.29,112.66,116.11,103.55,240714700
2020-03-01,116.63,122.95,76.91,90.03,80.29,734330700
2020-03-31,85.1,104.39,82.77,95.76,85.4,531938200
2020-04-30,93.5,102.95,82.4,97.31,87.68,497858600
2020-05-31,97.75,115.77,92.0,94.06,84.75,536015600
2020-06-30,94.89,101.29,90.78,96.64,87.08,432613400
2020-07-31,97.02,106.43,95.03,100.19,91.16,319706000
2020-08-31,99.55,105.21,91.38,96.27,87.59,390701400
2020-09-30,97.12,104.45,95.09,98.04,89.2,325366100
2020-10-31,99.39,123.5,97.86,117.88,108.25,333803100
2020-12-01,120.34,127.33,118.11,127.07,116.69,274143300
2021-01-01,127.5,142.75,123.77,128.67,118.16,318582400
2021-02-01,129.4,154.9,128.48,147.17,136.12,229245300
2021-03-01,149.52,161.69,147.97,152.23,140.8,399416900
2021-03-31,151.9,157.25,146.69,153.81,142.26,288694200
2021-04-30,154.85,165.7,152.14,164.24,152.8,248957700
2021-05-31,165.87,167.44,147.56,155.54,144.71,356723300
2021-06-30,156.26,159.16,145.71,151.78,141.21,280571500
2021-07-31,152.03,163.83,149.52,159.95,149.67,208085700
2021-08-31,160.22,169.3,150.49,163.69,153.17,234791100
2021-09-30,164.0,172.96,160.06,169.89,158.97,231680800
2021-10-31,172.04,172.33,158.29,158.83,149.51,203498400
2021-12-01,161.0,163.39,151.84,158.35,149.06,251966400
2022-01-01,159.86,169.81,139.57,148.6,139.88,373950200
2022-02-01,148.69,159.03,139.78,141.8,134.28,288730100
2022-03-01,140.04,143.93,127.27,136.32,129.09,390796800
2022-03-31,137.4,137.41,118.9,119.36,113.03,303650400
2022-04-30,119.88,133.15,115.02,132.23,126.15,313630400
2022-05-31,132.87,132.87,110.93,112.61,107.43,268201900
2022-06-30,112.65,116.5,106.06,115.36,110.05,239623100
2022-07-31,114.5,124.24,111.02,113.73,109.46,258430300
2022-08-31,113.29,121.55,104.4,104.5,100.58,248558100
2022-09-30,105.62,127.43,101.28,125.88,121.15,318197200
2022-10-31,126.87,138.18,125.91,138.18,134.18,227228500
2022-12-01,138.18,138.66,128.41,134.1,130.22,202046000
2023-01-01,135.24,143.49,133.55,139.96,135.91,209965200
2023-02-01,138.21,144.34,137.44,143.35,140.23,169562800
2023-03-01,142.1,144.04,123.11,130.31,127.47,458474400
2023-03-31,129.91,141.78,126.22,138.24,135.23,242859500
2023-04-30,142.26,143.37,131.81,135.71,133.8,235300100
2023-05-31,136.52,146.0,135.45,145.44,143.39,206539200
2023-06-30,146.19,159.38,141.44,157.96,155.73,231241600
2023-07-31,157.43,158.0,145.46,146.33,145.26,169302400
2023-08-31,146.09,150.25,142.65,145.02,143.96,172196500
2023-09-30,144.83,153.11,135.19,139.06,138.04,244010900
2023-10-31,139.25,156.13,138.47,156.08,156.08,162187800
