Date,Open,High,Low,Close*,Adj Close**,Volume
2017-08-31,45.59,48.49,43.84,48.17,40.18,157535900
2017-09-30,48.11,51.52,47.7,50.0,41.71,181652600
2017-10-31,50.22,52.58,47.42,51.61,43.27,142338300
2017-12-01,51.88,54.25,50.72,52.47,43.99,156160300
2018-01-01,52.76,58.05,51.92,56.55,47.41,197035500
2018-02-01,56.5,57.82,50.02,56.02,47.17,193827500
2018-03-01,55.89,59.38,51.97,53.96,45.43,204954800
2018-03-31,53.83,55.39,51.58,51.62,43.46,222555100
2018-04-30,51.39,55.64,49.51,50.14,42.42,196363000
2018-05-31,50.93,52.72,47.11,47.4,40.1,208034500
2018-06-30,46.96,51.53,46.28,50.56,42.78,187428300
2018-07-31,50.94,51.18,47.02,48.83,41.56,188261600
2018-08-31,48.86,50.37,46.4,46.57,39.63,172174900
2018-09-30,46.92,47.93,42.88,45.66,38.86,313771700
2018-10-31,45.82,46.95,42.54,44.39,38.04,223855400
2018-12-01,45.07,46.14,36.74,39.65,33.98,307651600
2019-01-01,39.02,45.11,38.76,42.3,36.25,314950600
2019-02-01,42.3,42.86,40.12,41.98,36.23,210778100
2019-03-01,42.35,44.89,40.4,42.2,36.42,250727700
2019-03-31,42.78,48.67,42.75,48.25,41.64,242779700
2019-04-30,48.2,48.62,40.6,40.69,35.34,210434200
2019-05-31,40.71,44.57,40.43,43.81,38.05,185025300
2019-06-30,44.59,45.77,43.02,44.56,38.7,182721700
2019-07-31,44.42,44.74,38.76,41.49,36.31,245335100
2019-08-31,41.04,45.45,40.35,42.67,37.34,187281000
2019-09-30,42.51,47.16,39.3,46.05,40.3,231980600
2019-10-31,46.52,49.98,46.46,49.48,43.63,171875200
2019-12-01,49.58,51.44,47.44,51.12,45.08,176409500
2020-01-01,51.2,57.57,50.46,52.26,46.08,226791900
2020-02-01,52.64,56.66,43.69,45.03,39.97,311578100
2020-03-01,45.11,46.92,27.2,34.0,30.18,581476100
2020-03-31,31.68,41.85,31.16,39.43,35.0,346491200
2020-04-30,38.35,47.32,35.53,44.2,39.58,252538800
2020-05-31,44.52,51.85,43.95,48.3,43.25,296685200
2020-06-30,48.41,53.51,47.02,48.88,43.77,265671300
2020-07-31,49.22,53.42,48.72,52.26,47.12,152782700
2020-08-31,51.92,54.38,45.86,48.35,43.59,202181800
2020-09-30,48.75,52.61,46.42,48.15,43.41,354504500
2020-10-31,48.88,63.96,48.44,61.83,56.16,248046900
2020-12-01,63.12,68.97,61.86,68.53,62.25,204083600
2021-01-01,69.28,77.76,66.85,67.05,60.9,259863800
2021-02-01,67.88,81.4,67.27,76.87,70.18,199074900
2021-03-01,78.05,86.64,76.0,77.66,70.9,261530600
2021-03-31,77.88,83.79,76.25,82.55,75.37,229848400
2021-04-30,83.11,91.35,80.75,90.95,83.39,194945100
2021-05-31,92.39,94.27,83.91,91.69,84.07,206019300
2021-06-30,91.92,97.21,86.95,95.98,88.0,212957600
2021-07-31,96.72,105.81,94.83,104.43,96.45,159635800
2021-08-31,104.54,105.95,96.25,97.31,89.87,179459900
2021-09-30,97.93,103.98,96.68,102.78,94.93,166932900
2021-10-31,103.89,105.34,93.88,94.82,88.18,194505600
2021-12-01,96.98,103.16,94.21,98.16,91.29,190257900
2022-01-01,99.33,106.47,92.94,102.54,95.36,270010600
2022-02-01,102.96,109.73,88.53,90.74,84.97,202668300
2022-03-01,90.0,94.91,81.97,87.4,81.85,252309900
2022-03-31,88.14,92.93,80.31,80.59,75.47,198285900
2022-04-30,80.59,87.53,76.75,86.14,81.36,172431500
2022-05-31,86.44,86.78,72.23,76.06,71.84,174764800
2022-06-30,75.76,84.63,72.05,84.3,79.62,158809800
2022-07-31,83.66,92.29,82.96,85.22,81.25,152454100
2022-08-31,84.67,91.04,78.35,79.01,75.33,182851600
2022-09-30,80.05,84.74,74.67,82.17,78.35,171004200
2022-10-31,83.25,93.25,82.55,93.07,89.6,131117900
2022-12-01,93.06,95.16,84.06,85.02,81.85,145897300
2023-01-01,85.64,99.1,84.83,97.33,93.7,168742800
2023-02-01,96.95,100.99,96.26,96.5,93.65,121182800
2023-03-01,95.96,99.2,81.72,87.8,85.21,205262500
2023-03-31,87.95,91.82,83.2,89.97,87.31,129524200
2023-04-30,90.19,90.52,80.74,81.76,80.03,150610500
2023-05-31,82.58,89.65,81.47,85.4,83.6,150773700
2023-06-30,86.34,95.57,82.9,91.56,89.63,167976500
2023-07-31,91.2,91.43,82.74,85.15,84.12,131151700
2023-08-31,86.0,89.47,81.03,81.67,80.68,139369400
2023-09-30,81.1,81.47,69.42,70.82,69.96,226398900
2023-10-31,71.17,80.44,70.7,79.34,79.34,170186600
