Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 31, 2023",26.44,30.61,26.15,30.49,30.25,"891,066,700"
"Sep 30, 2023",27.27,28.04,24.96,26.34,26.13,"1,225,313,600"
"Aug 31, 2023",28.76,29.44,27.01,27.38,27.16,"776,822,300"
"Jul 31, 2023",31.84,31.94,28.18,28.67,28.21,"809,800,400"
"Jun 30, 2023",28.70,32.85,28.10,32.00,31.48,"968,771,600"
"May 31, 2023",27.76,29.80,27.34,28.69,28.00,"968,264,000"
"Apr 30, 2023",29.50,29.54,26.83,27.79,27.13,"1,047,670,900"
"Mar 31, 2023",28.64,30.93,27.46,29.28,28.58,"1,028,196,100"
"Mar 01, 2023",34.15,34.56,26.32,28.60,27.74,"2,061,004,500"
"Feb 01, 2023",35.20,37.00,33.84,34.30,33.26,"616,776,700"
"Jan 01, 2023",33.23,35.78,32.89,35.48,34.41,"809,281,100"
"Dec 01, 2022",37.50,37.69,31.35,33.12,31.93,"893,060,200"
"Oct 31, 2022",36.44,38.60,35.41,37.85,36.49,"700,345,500"
"Sep 30, 2022",30.59,36.37,29.31,36.04,34.75,"980,931,500"
"Aug 31, 2022",33.34,35.63,30.17,30.20,28.93,"860,183,900"
"Jul 31, 2022",33.62,36.94,33.00,33.61,32.19,"819,363,100"
"Jun 30, 2022",30.98,33.98,29.67,33.81,32.39,"814,208,000"
"May 31, 2022",37.46,37.47,30.64,31.13,29.65,"996,294,300"
"Apr 30, 2022",36.03,38.75,32.96,37.20,35.43,"1,107,801,400"
"Mar 31, 2022",41.69,41.74,35.54,35.68,33.98,"1,032,209,900"
"Mar 01, 2022",43.71,44.63,38.17,41.22,39.07,"1,312,818,500"
"Feb 01, 2022",46.21,50.11,42.05,44.20,41.89,"941,748,700"
"Jan 01, 2022",45.09,50.08,42.59,46.14,43.73,"1,225,178,700"
"Dec 01, 2021",45.22,45.70,42.70,44.49,41.96,"1,060,922,000"
"Oct 31, 2021",48.10,48.69,44.36,44.47,41.94,"895,399,100"
"Sep 30, 2021",42.48,48.43,42.33,47.78,45.07,"917,220,900"
"Aug 31, 2021",41.75,44.04,38.36,42.45,39.83,"1,022,318,600"
"Jul 31, 2021",38.40,42.84,37.55,41.75,39.18,"997,266,200"
"Jun 30, 2021",41.56,41.70,36.51,38.36,36.00,"1,060,522,600"
"May 31, 2021",42.95,43.49,38.49,41.23,38.53,"984,580,900"
"Apr 30, 2021",40.87,43.26,39.78,42.39,39.61,"823,509,600"
"Mar 31, 2021",38.83,41.13,37.41,40.53,37.87,"1,029,977,500"
"Mar 01, 2021",35.52,39.97,35.24,38.69,35.98,"1,378,848,200"
"Feb 01, 2021",29.87,37.03,29.57,34.71,32.27,"949,913,300"
"Jan 01, 2021",30.46,34.37,29.59,29.65,27.57,"1,085,862,900"
"Dec 01, 2020",28.74,30.55,28.14,30.31,28.01,"1,027,329,000"
"Oct 31, 2020",23.89,29.10,23.27,28.16,26.02,"1,286,428,200"
"Sep 30, 2020",24.27,25.83,23.12,23.70,21.90,"1,296,966,100"
"Aug 31, 2020",25.58,26.76,22.95,24.09,22.11,"1,290,916,600"
"Jul 31, 2020",25.03,27.75,24.69,25.74,23.62,"1,145,115,700"
"Jun 30, 2020",24.03,25.29,22.39,24.88,22.83,"1,388,503,300"
"May 31, 2020",24.28,29.01,23.02,23.75,21.64,"1,801,797,500"
"Apr 30, 2020",23.38,26.17,20.10,24.12,21.98,"1,447,488,500"
"Mar 31, 2020",19.93,25.32,19.51,24.05,21.92,"1,636,723,300"
"Mar 01, 2020",28.35,29.75,17.95,21.23,19.22,"2,826,499,000"
"Feb 01, 2020",33.00,35.45,27.70,28.50,25.81,"1,072,992,000"
"Jan 01, 2020",35.35,35.67,32.47,32.83,29.73,"995,093,800"
"Dec 01, 2019",33.45,35.72,32.55,35.22,31.72,"941,699,200"
"Oct 31, 2019",31.70,33.60,31.37,33.32,30.01,"847,433,200"
"Sep 30, 2019",29.44,32.23,27.16,31.27,28.16,"1,206,828,400"
"Aug 31, 2019",27.21,30.32,26.61,29.17,26.10,"1,202,361,900"
"Jul 31, 2019",30.55,31.07,26.21,27.51,24.61,"1,359,301,200"
"Jun 30, 2019",29.48,31.06,28.86,30.68,27.45,"963,999,300"
"May 31, 2019",26.59,29.27,26.40,29.00,25.81,"987,172,300"
"Apr 30, 2019",30.56,30.89,26.48,26.60,23.67,"1,063,985,700"
"Mar 31, 2019",27.90,31.17,27.85,30.58,27.21,"1,226,771,800"
"Mar 01, 2019",29.33,30.14,26.61,27.59,24.55,"1,240,842,800"
"Feb 01, 2019",28.60,29.67,27.86,29.08,25.75,"972,624,100"
"Jan 01, 2019",24.08,29.72,24.01,28.47,25.21,"1,644,923,700"
"Dec 01, 2018",28.99,29.04,22.66,24.64,21.70,"1,812,967,100"
"Oct 31, 2018",27.77,29.12,26.78,28.40,25.01,"1,119,395,300"
"Sep 30, 2018",29.68,30.79,25.88,27.50,24.21,"1,818,210,500"
"Aug 31, 2018",30.91,31.37,29.42,29.46,25.81,"1,036,676,400"
"Jul 31, 2018",31.22,31.91,30.16,30.93,27.10,"1,076,260,100"
"Jun 30, 2018",28.08,31.45,27.63,30.88,27.06,"1,313,220,000"
"May 31, 2018",29.49,30.41,28.01,28.19,24.70,"1,377,574,500"
"Apr 30, 2018",29.92,31.36,28.43,29.04,25.34,"1,414,580,700"
"Mar 31, 2018",29.80,31.17,28.75,29.92,26.11,"1,471,183,500"
"Mar 01, 2018",32.07,33.05,29.01,29.99,26.07,"1,488,464,200"
"Feb 01, 2018",32.00,32.85,29.13,32.10,27.91,"1,705,884,000"
"Jan 01, 2018",29.75,32.45,29.61,32.00,27.82,"1,413,714,500"
"Dec 01, 2017",28.25,30.03,27.50,29.52,25.67,"1,494,582,400"
"Oct 31, 2017",27.64,28.72,25.81,28.17,24.39,"1,350,989,400"
"Sep 30, 2017",25.46,27.98,25.12,27.39,23.71,"1,380,163,100"
"Aug 31, 2017",23.90,25.64,22.75,25.34,21.94,"1,481,992,500"
