Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 31, 2023",39.54,46.17,39.28,46.10,45.51,"337,989,900"
"Sep 30, 2023",40.99,43.32,38.17,39.49,38.98,"436,737,300"
"Aug 31, 2023",41.59,43.44,39.94,41.13,40.60,"318,487,700"
"Jul 31, 2023",47.33,47.47,40.72,41.29,40.29,"355,060,500"
"Jun 30, 2023",46.08,49.12,45.11,47.66,46.51,"365,120,800"
"May 31, 2023",44.68,49.42,44.31,46.04,44.93,"303,703,100"
"Apr 30, 2023",47.88,48.38,43.71,44.32,43.25,"324,269,700"
"Mar 31, 2023",47.14,50.45,45.31,47.07,45.44,"305,974,700"
"Mar 01, 2023",50.46,52.45,42.01,46.89,45.26,"590,189,300"
"Feb 01, 2023",51.54,53.23,49.15,50.69,48.45,"291,938,100"
"Jan 01, 2023",45.75,52.29,45.54,52.22,49.91,"381,928,500"
"Dec 01, 2022",48.28,48.67,42.91,45.23,43.23,"381,563,700"
"Oct 31, 2022",46.30,50.57,44.27,48.41,45.74,"353,073,000"
"Sep 30, 2022",41.55,46.28,40.01,45.86,43.33,"392,842,200"
"Aug 31, 2022",48.77,51.64,41.61,41.67,39.37,"403,082,700"
"Jul 31, 2022",51.49,54.56,48.67,48.81,46.12,"335,836,200"
"Jun 30, 2022",45.74,53.15,43.44,51.90,48.56,"437,703,700"
"May 31, 2022",53.50,53.74,45.26,45.99,43.03,"470,241,800"
"Apr 30, 2022",48.46,54.25,45.40,53.41,49.98,"577,277,900"
"Mar 31, 2022",53.47,53.98,48.05,48.21,44.65,"483,095,400"
"Mar 01, 2022",58.39,59.86,53.36,53.40,49.46,"743,040,700"
"Feb 01, 2022",65.44,69.11,58.37,59.23,54.43,"456,643,500"
"Jan 01, 2022",61.18,68.65,60.03,65.12,59.84,"565,256,700"
"Dec 01, 2021",64.66,65.09,57.59,60.39,55.49,"516,996,800"
"Oct 31, 2021",69.93,69.93,63.36,63.70,58.53,"441,374,200"
"Sep 30, 2021",70.44,73.72,68.74,69.16,63.09,"379,869,400"
"Aug 31, 2021",72.36,73.28,65.97,70.18,64.03,"409,797,300"
"Jul 31, 2021",67.95,74.64,66.89,71.91,65.60,"350,607,900"
"Jun 30, 2021",71.08,71.21,64.36,67.62,61.23,"427,931,000"
"May 31, 2021",79.49,80.29,67.13,70.75,64.07,"518,881,000"
"Apr 30, 2021",72.02,79.28,70.63,78.71,71.27,"358,130,700"
"Mar 31, 2021",72.22,74.73,68.41,71.24,64.06,"372,474,300"
"Mar 01, 2021",68.49,76.13,67.89,72.75,65.42,"467,057,800"
"Feb 01, 2021",58.66,69.38,57.40,65.88,59.24,"342,568,000"
"Jan 01, 2021",61.59,69.43,57.69,57.99,51.71,"455,920,600"
"Dec 01, 2020",56.55,61.93,55.25,61.66,54.98,"423,975,400"
"Oct 31, 2020",41.86,57.24,41.20,55.07,49.10,"524,801,100"
"Sep 30, 2020",43.33,46.12,40.49,41.42,36.48,"563,146,200"
"Aug 31, 2020",50.88,53.64,41.29,43.11,37.97,"634,633,000"
"Jul 31, 2020",50.56,55.03,49.16,51.12,45.02,"365,404,400"
"Jun 30, 2020",51.76,53.60,49.03,50.01,43.61,"473,101,600"
"May 31, 2020",48.14,62.47,47.82,51.10,44.56,"714,515,500"
"Apr 30, 2020",46.31,53.01,38.76,47.91,41.34,"619,221,900"
"Mar 31, 2020",39.14,50.65,36.67,48.56,41.90,"668,094,100"
"Mar 01, 2020",63.85,68.43,32.00,42.12,36.34,"763,972,700"
"Feb 01, 2020",74.70,80.77,61.34,63.46,54.75,"302,892,000"
"Jan 01, 2020",80.13,83.11,73.91,74.41,63.78,"271,506,100"
"Dec 01, 2019",75.42,80.42,72.50,79.89,68.47,"254,822,200"
"Oct 31, 2019",72.25,76.28,72.10,75.12,63.93,"209,248,400"
"Sep 30, 2019",69.57,74.28,64.79,71.86,61.15,"282,143,700"
"Aug 31, 2019",64.00,70.74,62.32,69.08,58.79,"264,574,600"
"Jul 31, 2019",70.67,71.09,60.72,64.35,54.35,"339,809,700"
"Jun 30, 2019",70.86,73.08,70.08,71.16,60.11,"265,218,900"
"May 31, 2019",62.10,70.21,61.94,70.03,59.15,"260,679,300"
"Apr 30, 2019",70.68,71.17,61.97,62.15,52.16,"302,717,600"
"Mar 31, 2019",62.85,71.94,62.82,70.70,59.34,"281,241,700"
"Mar 01, 2019",64.78,66.83,60.05,62.22,52.22,"353,947,500"
"Feb 01, 2019",64.25,65.43,61.01,63.98,53.32,"259,451,400"
"Jan 01, 2019",50.68,64.74,50.67,64.46,53.72,"447,393,500"
"Dec 01, 2018",66.04,66.46,48.42,52.06,43.39,"535,469,400"
"Oct 31, 2018",66.09,69.00,61.72,64.79,53.63,"347,615,300"
"Sep 30, 2018",72.24,73.98,63.18,65.46,54.18,"438,549,700"
"Aug 31, 2018",70.99,75.24,68.91,71.74,59.38,"283,436,400"
"Jul 31, 2018",72.50,73.21,68.08,71.24,58.60,"280,770,900"
"Jun 30, 2018",66.21,72.79,65.90,71.89,59.13,"334,733,500"
"May 31, 2018",67.49,69.17,64.38,66.92,55.04,"369,881,700"
"Apr 30, 2018",68.24,73.30,65.20,66.69,54.60,"347,514,600"
"Mar 31, 2018",68.33,73.38,66.55,68.27,55.89,"372,694,400"
"Mar 01, 2018",75.50,76.53,67.50,67.50,55.26,"397,762,100"
"Feb 01, 2018",78.27,79.23,71.00,75.49,61.55,"345,124,100"
"Jan 01, 2018",75.09,80.70,73.97,78.48,63.99,"333,288,100"
"Dec 01, 2017",75.71,77.92,73.78,74.41,60.67,"335,091,300"
"Oct 31, 2017",73.99,76.89,70.02,75.50,61.29,"289,638,400"
"Sep 30, 2017",73.07,76.14,70.91,73.50,59.67,"360,485,700"
"Aug 31, 2017",68.11,72.97,65.69,72.74,59.05,"299,867,700"
