Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 31, 2023",303.33,344.76,302.84,341.54,338.76,"41,299,000"
"Sep 30, 2023",322.03,323.58,289.36,303.61,301.14,"49,100,700"
"Aug 31, 2023",329.67,346.19,318.98,323.57,320.93,"34,247,000"
"Jul 31, 2023",354.00,358.73,318.00,327.71,322.35,"39,255,100"
"Jun 30, 2023",322.41,361.62,312.70,355.87,350.05,"53,389,200"
"May 31, 2023",324.51,347.73,310.56,322.54,317.27,"54,489,500"
"Apr 30, 2023",344.05,347.46,317.32,323.90,316.20,"40,051,700"
"Mar 31, 2023",326.14,345.06,319.37,343.44,335.27,"41,874,400"
"Mar 01, 2023",349.39,358.86,301.87,327.11,317.06,"71,663,200"
"Feb 01, 2023",359.10,379.68,351.33,351.65,340.85,"43,626,100"
"Jan 01, 2023",345.50,374.35,336.16,365.81,354.57,"72,602,300"
"Dec 01, 2022",386.50,386.50,339.30,343.38,332.83,"42,481,000"
"Oct 31, 2022",345.13,389.58,342.59,386.15,371.85,"54,123,100"
"Sep 30, 2022",297.17,346.18,287.75,344.51,331.75,"50,063,200"
"Aug 31, 2022",329.87,344.37,288.62,293.05,282.20,"40,946,400"
"Jul 31, 2022",331.73,358.62,327.22,332.67,317.95,"41,448,800"
"Jun 30, 2022",295.27,335.18,277.84,333.39,318.64,"53,637,700"
"May 31, 2022",327.00,329.27,278.15,297.02,283.88,"55,802,300"
"Apr 30, 2022",305.81,329.72,293.90,326.85,310.49,"50,846,700"
"Mar 31, 2022",333.93,347.35,304.71,305.49,290.19,"60,544,400"
"Mar 01, 2022",337.40,346.77,318.55,330.10,311.73,"68,146,100"
"Feb 01, 2022",356.13,377.40,326.95,341.29,322.30,"55,246,800"
"Jan 01, 2022",389.00,412.66,326.23,354.68,334.95,"86,070,200"
"Dec 01, 2021",383.82,401.75,366.65,382.55,359.37,"54,077,900"
"Oct 31, 2021",417.07,426.16,377.26,380.99,357.90,"51,024,900"
"Sep 30, 2021",379.44,419.81,372.82,413.35,388.30,"52,460,700"
"Aug 31, 2021",413.16,417.58,372.50,378.03,355.12,"50,989,600"
"Jul 31, 2021",376.17,420.76,371.77,413.51,386.58,"48,011,900"
"Jun 30, 2021",380.70,385.33,349.00,374.88,350.46,"53,710,100"
"May 31, 2021",377.70,393.26,348.13,379.53,354.81,"61,458,900"
"Apr 30, 2021",350.34,376.98,342.57,372.02,346.62,"54,534,300"
"Mar 31, 2021",324.30,353.83,322.97,348.45,324.66,"64,000,400"
"Mar 01, 2021",325.00,356.85,316.46,327.00,303.48,"69,663,600"
"Feb 01, 2021",272.66,335.81,272.00,319.48,296.50,"56,397,500"
"Jan 01, 2021",267.00,309.41,260.16,271.17,251.67,"73,466,400"
"Dec 01, 2020",231.96,263.93,231.35,263.71,243.42,"57,496,000"
"Oct 31, 2020",192.00,238.12,188.23,230.58,212.83,"61,139,000"
"Sep 30, 2020",201.53,214.89,185.52,189.04,174.49,"71,860,700"
"Aug 31, 2020",203.60,215.23,185.87,200.97,185.50,"79,074,100"
"Jul 31, 2020",198.49,216.95,196.53,204.87,187.97,"56,569,800"
"Jun 30, 2020",198.88,225.24,195.00,197.96,181.63,"84,411,600"
"May 31, 2020",197.31,222.98,188.51,197.62,181.31,"77,455,700"
"Apr 30, 2020",179.00,211.31,165.36,196.49,179.16,"68,838,500"
"Mar 31, 2020",146.10,193.72,141.67,183.42,167.24,"84,992,100"
"Mar 01, 2020",201.41,211.79,130.85,154.59,140.95,"133,808,200"
"Feb 01, 2020",238.36,245.77,194.85,200.77,181.95,"61,711,300"
"Jan 01, 2020",231.00,250.46,229.49,237.75,215.46,"70,831,600"
