Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 31, 2023",139.25,156.13,138.47,156.08,156.08,"162,187,800"
"Sep 30, 2023",144.83,153.11,135.19,139.06,138.04,"244,010,900"
"Aug 31, 2023",146.09,150.25,142.65,145.02,143.96,"172,196,500"
"Jul 31, 2023",157.43,158.00,145.46,146.33,145.26,"169,302,400"
"Jun 30, 2023",146.19,159.38,141.44,157.96,155.73,"231,241,600"
"May 31, 2023",136.52,146.00,135.45,145.44,143.39,"206,539,200"
"Apr 30, 2023",142.26,143.37,131.81,135.71,133.80,"235,300,100"
"Mar 31, 2023",129.91,141.78,126.22,138.24,135.23,"242,859,500"
"Mar 01, 2023",142.10,144.04,123.11,130.31,127.47,"458,474,400"
"Feb 01, 2023",138.21,144.34,137.44,143.35,140.23,"169,562,800"
"Jan 01, 2023",135.24,143.49,133.55,139.96,135.91,"209,965,200"
"Dec 01, 2022",138.18,138.66,128.41,134.10,130.22,"202,046,000"
"Oct 31, 2022",126.87,138.18,125.91,138.18,134.18,"227,228,500"
"Sep 30, 2022",105.62,127.43,101.28,125.88,121.15,"318,197,200"
"Aug 31, 2022",113.29,121.55,104.40,104.50,100.58,"248,558,100"
"Jul 31, 2022",114.50,124.24,111.02,113.73,109.46,"258,430,300"
"Jun 30, 2022",112.65,116.50,106.06,115.36,110.05,"239,623,100"
"May 31, 2022",132.87,132.87,110.93,112.61,107.43,"268,201,900"
"Apr 30, 2022",119.88,133.15,115.02,132.23,126.15,"313,630,400"
"Mar 31, 2022",137.40,137.41,118.90,119.36,113.03,"303,650,400"
"Mar 01, 2022",140.04,143.93,127.27,136.32,129.09,"390,796,800"
"Feb 01, 2022",148.69,159.03,139.78,141.80,134.28,"288,730,100"
"Jan 01, 2022",159.86,169.81,139.57,148.60,139.88,"373,950,200"
"Dec 01, 2021",161.00,163.39,151.84,158.35,149.06,"251,966,400"
"Oct 31, 2021",172.04,172.33,158.29,158.83,149.51,"203,498,400"
"Sep 30, 2021",164.00,172.96,160.06,169.89,158.97,"231,680,800"
"Aug 31, 2021",160.22,169.30,150.49,163.69,153.17,"234,791,100"
"Jul 31, 2021",152.03,163.83,149.52,159.95,149.67,"208,085,700"
"Jun 30, 2021",156.26,159.16,145.71,151.78,141.21,"280,571,500"
"May 31, 2021",165.87,167.44,147.56,155.54,144.71,"356,723,300"
"Apr 30, 2021",154.85,165.70,152.14,164.24,152.80,"248,957,700"
"Mar 31, 2021",151.90,157.25,146.69,153.81,142.26,"288,694,200"
"Mar 01, 2021",149.52,161.69,147.97,152.23,140.80,"399,416,900"
"Feb 01, 2021",129.40,154.90,128.48,147.17,136.12,"229,245,300"
"Jan 01, 2021",127.50,142.75,123.77,128.67,118.16,"318,582,400"
"Dec 01, 2020",120.34,127.33,118.11,127.07,116.69,"274,143,300"
"Oct 31, 2020",99.39,123.50,97.86,117.88,108.25,"333,803,100"
"Sep 30, 2020",97.12,104.45,95.09,98.04,89.20,"325,366,100"
"Aug 31, 2020",99.55,105.21,91.38,96.27,87.59,"390,701,400"
"Jul 31, 2020",97.02,106.43,95.03,100.19,91.16,"319,706,000"
"Jun 30, 2020",94.89,101.29,90.78,96.64,87.08,"432,613,400"
"May 31, 2020",97.75,115.77,92.00,94.06,84.75,"536,015,600"
"Apr 30, 2020",93.50,102.95,82.40,97.31,87.68,"497,858,600"
"Mar 31, 2020",85.10,104.39,82.77,95.76,85.40,"531,938,200"
"Mar 01, 2020",116.63,122.95,76.91,90.03,80.29,"734,330,700"
"Feb 01, 2020",132.66,139.29,112.66,116.11,103.55,"240,714,700"
"Jan 01, 2020",139.79,141.10,129.71,132.36,117.28,"247,990,900"
"Dec 01, 2019",132.31,140.08,128.59,139.40,123.52,"212,915,300"
"Oct 31, 2019",126.20,132.43,126.02,131.76,116.75,"191,200,900"
"Sep 30, 2019",118.40,127.42,110.52,124.92,109.81,"251,981,600"
"Aug 31, 2019",108.98,120.40,107.32,117.69,103.46,"229,360,700"
"Jul 31, 2019",115.33,116.80,104.34,109.86,96.57,"259,393,900"
"Jun 30, 2019",113.23,117.24,112.15,116.00,101.25,"232,008,700"
"May 31, 2019",105.80,112.43,105.30,111.80,97.59,"248,214,000"
"Apr 30, 2019",115.72,117.00,104.84,105.96,92.49,"230,711,900"
"Mar 31, 2019",102.15,117.16,102.12,116.05,100.53,"252,516,300"
"Mar 01, 2019",105.10,108.40,98.09,101.23,87.69,"306,599,600"
"Feb 01, 2019",104.00,107.27,100.06,104.36,90.40,"224,935,100"
"Jan 01, 2019",95.95,105.24,95.94,103.50,88.94,"325,890,900"
"Dec 01, 2018",112.38,112.89,91.11,97.62,83.88,"425,217,000"
"Oct 31, 2018",109.62,112.93,105.98,111.19,95.54,"283,227,700"
"Sep 30, 2018",113.37,116.81,102.73,109.02,93.03,"433,042,000"
"Aug 31, 2018",114.34,119.24,112.52,112.84,96.29,"232,549,000"
"Jul 31, 2018",115.75,118.29,112.97,114.58,97.77,"234,427,900"
"Jun 30, 2018",103.72,117.61,102.20,114.95,97.56,"298,256,100"
"May 31, 2018",108.34,111.91,103.11,104.20,88.43,"307,772,000"
"Apr 30, 2018",108.45,114.73,104.96,107.01,90.82,"273,649,200"
"Mar 31, 2018",109.96,115.15,106.08,108.78,91.85,"340,100,300"
"Mar 01, 2018",115.48,118.75,106.65,109.97,92.86,"321,513,800"
"Feb 01, 2018",115.77,119.33,103.98,115.50,97.53,"354,632,300"
"Jan 01, 2018",107.63,117.35,106.81,115.67,97.17,"304,940,100"
"Dec 01, 2017",104.90,108.46,102.20,106.94,89.83,"284,432,100"
"Oct 31, 2017",101.10,106.66,95.95,104.52,87.80,"256,086,400"
"Sep 30, 2017",95.77,102.42,94.96,100.61,84.02,"259,433,200"
"Aug 31, 2017",91.25,95.88,88.08,95.51,79.77,"250,922,800"
